"clu_pop","month","event","mean","sd","se","variable"
"Camarate",1,"2005",0.19153515625,NA,NA,"myevisp"
"Camarate",1,"2012",0.153280454545455,NA,NA,"myevisp"
"Camarate",1,"ref",0.171936942104285,0.0206485803910674,0.00533144053182861,"myevisp"
"Camarate",2,"2005",0.17809453125,NA,NA,"myevisp"
"Camarate",2,"2012",0.109184186046512,NA,NA,"myevisp"
"Camarate",2,"ref",0.168969782684367,0.0383588032908832,0.0095897008227208,"myevisp"
"Camarate",3,"2005",0.17252109375,NA,NA,"myevisp"
"Camarate",3,"2012",0.169579279279279,NA,NA,"myevisp"
"Camarate",3,"ref",0.17769161680227,0.0243806006844144,0.0060951501711036,"myevisp"
"Camarate",4,"2005",0.221675373134328,NA,NA,"myevisp"
"Camarate",4,"2012",0.184334196891192,NA,NA,"myevisp"
"Camarate",4,"ref",0.222506525744545,0.0195792220720175,0.00489480551800438,"myevisp"
"Camarate",5,"2005",0.271751226158038,NA,NA,"myevisp"
"Camarate",5,"2012",0.281077016129032,NA,NA,"myevisp"
"Camarate",5,"ref",0.293294397255007,0.0214401568999923,0.00536003922499807,"myevisp"
"Camarate",6,"2005",0.258978723404255,NA,NA,"myevisp"
"Camarate",6,"2012",0.312673357664234,NA,NA,"myevisp"
"Camarate",6,"ref",0.318011216828231,0.0250967394918616,0.00627418487296541,"myevisp"
"Camarate",7,"2005",0.2395229390681,NA,NA,"myevisp"
"Camarate",7,"2012",0.269002996254682,NA,NA,"myevisp"
"Camarate",7,"ref",0.28331408054369,0.0233385663535615,0.00583464158839037,"myevisp"
"Camarate",8,"2005",0.216388070175439,NA,NA,"myevisp"
"Camarate",8,"2012",0.23724170212766,NA,NA,"myevisp"
"Camarate",8,"ref",0.254307852974661,0.0187678848238304,0.00469197120595759,"myevisp"
"Camarate",9,"2005",0.207144239631336,NA,NA,"myevisp"
"Camarate",9,"2012",0.237627748691099,NA,NA,"myevisp"
"Camarate",9,"ref",0.237864259614939,0.0167751379956314,0.00419378449890786,"myevisp"
"Camarate",10,"2005",0.195717012448133,NA,NA,"myevisp"
"Camarate",10,"2012",0.253226691729323,NA,NA,"myevisp"
"Camarate",10,"ref",0.224499511569477,0.0163129318474767,0.00407823296186917,"myevisp"
"Camarate",11,"2005",0.170785546875,NA,NA,"myevisp"
"Camarate",11,"2012",0.191267479674797,NA,NA,"myevisp"
"Camarate",11,"ref",0.196988206490557,0.0161006801772612,0.0040251700443153,"myevisp"
"Camarate",12,"2005",0.1711171875,NA,NA,"myevisp"
"Camarate",12,"2012",0.176238671875,NA,NA,"myevisp"
"Camarate",12,"ref",0.185779928156745,0.0162343391324904,0.0040585847831226,"myevisp"
"Northern slope",1,"2005",0.164932459247425,0.0433038547383928,0.0216519273691964,"myevisp"
"Northern slope",1,"2012",0.165295687037148,0.0246559715320372,0.0123279857660186,"myevisp"
"Northern slope",1,"ref",0.150856676346286,0.0361784501624263,0.00467061783235574,"myevisp"
"Northern slope",2,"2005",0.16145191495627,0.0335826296847084,0.0167913148423542,"myevisp"
"Northern slope",2,"2012",0.154354731472916,0.0313665804575513,0.0156832902287756,"myevisp"
"Northern slope",2,"ref",0.157229700892078,0.0450526529921559,0.00563158162401949,"myevisp"
"Northern slope",3,"2005",0.135414036450372,0.0283179940418495,0.0141589970209248,"myevisp"
"Northern slope",3,"2012",0.189096278069756,0.0311368720273217,0.0155684360136609,"myevisp"
"Northern slope",3,"ref",0.171693322270894,0.0373555563457956,0.00466944454322444,"myevisp"
"Northern slope",4,"2005",0.211339803245553,0.0325901507153955,0.0162950753576977,"myevisp"
"Northern slope",4,"2012",0.190267396136122,0.0214148897552468,0.0107074448776234,"myevisp"
"Northern slope",4,"ref",0.221153390330627,0.035286072639469,0.00441075907993362,"myevisp"
"Northern slope",5,"2005",0.249146803511931,0.022280647211004,0.011140323605502,"myevisp"
