"month","event","mean","sd","se","variable"
1,"2005",0.209796247366625,0.0621553178387244,0.0219752233652836,"myevisp"
1,"2012",0.192954467653137,0.0450436371725457,0.0159253306470067,"myevisp"
1,"ref",0.190009679674355,0.0538389948687789,0.00491480532717252,"myevisp"
2,"2005",0.187328455056748,0.0387122853775638,0.0136868597528521,"myevisp"
2,"2012",0.176948773346213,0.0511494527314024,0.0180840624401777,"myevisp"
2,"ref",0.187060811702577,0.0515925819500759,0.00456018306947767,"myevisp"
3,"2005",0.169711856649605,0.0457696408111523,0.0161820116950192,"myevisp"
3,"2012",0.196509887441746,0.0267919801570039,0.00947239542521642,"myevisp"
3,"ref",0.194217532355919,0.0405691466517408,0.00358583983804968,"myevisp"
4,"2005",0.219042536173536,0.0233830889082048,0.00826717036603976,"myevisp"
4,"2012",0.200445096207291,0.0216185712562935,0.00764331916744485,"myevisp"
4,"ref",0.230926369789025,0.0319121723395411,0.00282066418296041,"myevisp"
5,"2005",0.271980989440373,0.0304117932985682,0.0107521926347306,"myevisp"
5,"2012",0.28968052438191,0.0194715992639072,0.00688424994002789,"myevisp"
5,"ref",0.292584496536563,0.0348764927718507,0.0030826755678724,"myevisp"
6,"2005",0.272514637628175,0.0361021754466712,0.0127640465369638,"myevisp"
6,"2012",0.315758498599825,0.0193379689646629,0.00683700449464406,"myevisp"
6,"ref",0.320229085734599,0.0293619816861021,0.00259525704491475,"myevisp"
7,"2005",0.244432025815595,0.0458883701545908,0.0162239888569548,"myevisp"
7,"2012",0.28060013341716,0.0243850583950401,0.00862142007538138,"myevisp"
7,"ref",0.292623582697468,0.0343486365829079,0.00303601923153581,"myevisp"
8,"2005",0.231591892694393,0.0372305665869263,0.0131629930505164,"myevisp"
8,"2012",0.243019277088325,0.0267461948459822,0.00945620787326536,"myevisp"
8,"ref",0.266284051724069,0.0360430827755671,0.00318578853068394,"myevisp"
9,"2005",0.227479421466894,0.0385155590629044,0.0136173064972853,"myevisp"
9,"2012",0.238611497318259,0.0354854493621493,0.0125460009387138,"myevisp"
9,"ref",0.253956955161057,0.036833256035414,0.00325563063947769,"myevisp"
10,"2005",0.219605437473143,0.0453518394549758,0.0160342966089485,"myevisp"
10,"2012",0.270817759342392,0.0411954004142198,0.014564773493295,"myevisp"
10,"ref",0.24856454399964,0.0416463067309215,0.0036810482376012,"myevisp"
11,"2005",0.195211221170283,0.0574173092388866,0.0203000843601509,"myevisp"
11,"2012",0.222995212060901,0.0479812533352685,0.016963934801599,"myevisp"
11,"ref",0.22723131898549,0.0483672270750918,0.00427509928149838,"myevisp"
12,"2005",0.191964469037565,0.0598481412386044,0.0211595132556137,"myevisp"
12,"2012",0.198220566180409,0.0483407334304855,0.0170910302081138,"myevisp"
12,"ref",0.206126491789894,0.0518162205920463,0.00457995011951175,"myevisp"
1,"2005",0.209796247366625,0.0621553178387244,0.0219752233652836,"myndvisp"
1,"2012",0.192954467653137,0.0450436371725457,0.0159253306470067,"myndvisp"
1,"ref",0.190009679674355,0.0538389948687789,0.00491480532717252,"myndvisp"
2,"2005",0.187328455056748,0.0387122853775638,0.0136868597528521,"myndvisp"
2,"2012",0.176948773346213,0.0511494527314024,0.0180840624401777,"myndvisp"
2,"ref",0.187060811702577,0.0515925819500759,0.00456018306947767,"myndvisp"
3,"2005",0.169711856649605,0.0457696408111523,0.0161820116950192,"myndvisp"
3,"2012",0.196509887441746,0.0267919801570039,0.00947239542521642,"myndvisp"
3,"ref",0.194217532355919,0.0405691466517408,0.00358583983804968,"myndvisp"
4,"2005",0.219042536173536,0.0233830889082048,0.00826717036603976,"myndvisp"
4,"2012",0.200445096207291,0.0216185712562935,0.00764331916744485,"myndvisp"
4,"ref",0.230926369789025,0.0319121723395411,0.00282066418296041,"myndvisp"
5,"2005",0.271980989440373,0.0304117932985682,0.0107521926347306,"myndvisp"
5,"2012",0.28968052438191,0.0194715992639072,0.00688424994002789,"myndvisp"
5,"ref",0.292584496536563,0.0348764927718507,0.0030826755678724,"myndvisp"
6,"2005",0.272514637628175,0.0361021754466712,0.0127640465369638,"myndvisp"
6,"2012",0.315758498599825,0.0193379689646629,0.00683700449464406,"myndvisp"
6,"ref",0.320229085734599,0.0293619816861021,0.00259525704491475,"myndvisp"
7,"2005",0.244432025815595,0.0458883701545908,0.0162239888569548,"myndvisp"
7,"2012",0.28060013341716,0.0243850583950401,0.00862142007538138,"myndvisp"
