DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,-0.4491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.24588,-0.47667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,-0.49347,-0.53354,-0.70842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,-0.35468,-0.63927,-0.70308,-0.87445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.16735,-0.2271,-0.47757,-0.60825,-0.76245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,-0.58138,-0.28484,-0.51098,-0.65722,-0.71372,-0.84624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-1.04741,-0.94071,-0.54555,-0.6766,-0.78091,-0.81874,-0.92292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,1.36294,0.39585,-0.31074,-0.14861,-0.36959,-0.52414,-0.60883,-0.73597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,1.19748,1.43216,1.10542,0.58611,0.44343,0.14907,-0.12638,-0.24087,-0.40817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.04016,0.54617,0.86139,0.63318,0.34785,0.28773,0.0384,-0.16915,-0.26276,-0.40531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.82925,-0.81949,-0.16242,0.12514,-0.04417,-0.23724,-0.15517,-0.34663,-0.50558,-0.55569,-0.65304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,0.26541,-0.35286,-0.45666,0.02375,0.22413,0.07111,-0.09504,-0.04145,-0.20238,-0.39826,-0.45822,-0.55359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,1.08054,0.71266,0.21238,0.18547,0.49575,0.61218,0.48418,0.34494,0.33574,0.20396,0.01184,-0.06299,-0.20055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,1.19311,1.281,1.01462,0.64112,0.63735,0.84005,0.92094,0.81967,0.7137,0.66716,0.52289,0.34445,0.27074,0.11861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,0.60929,1.08161,1.25325,1.02985,0.70032,0.69298,0.88171,0.9598,0.86584,0.75717,0.71959,0.57996,0.40134,0.32647,0.1709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,0.79165,0.79994,1.21545,1.39882,1.17327,0.83602,0.85066,1.02345,1.10151,1.00894,0.89357,0.83342,0.69212,0.49934,0.41955,0.25325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,1.35561,1.30545,1.2232,1.53058,1.62866,1.38265,1.09732,1.11868,1.2509,1.31557,1.23748,1.13662,1.06972,0.94413,0.75563,0.65305,0.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,0.04022,1.11071,1.17121,1.11613,1.40264,1.52308,1.31548,1.04862,1.0574,1.19006,1.25188,1.17008,1.06665,1.007,0.88775,0.71204,0.60895,0.4424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,0.41464,0.0652,1.10391,1.17639,1.12042,1.40031,1.51558,1.31088,1.04705,1.05452,1.18504,1.24759,1.16543,1.05856,0.99839,0.88013,0.7066,0.60336,0.44222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,0.7365,0.61143,0.21554,1.11105,1.1872,1.13455,1.40855,1.5096,1.30712,1.05366,1.06301,1.18807,1.24822,1.1689,1.06488,1.00717,0.89564,0.7263,0.6231,0.46556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,1.62644,1.58737,1.50331,1.30457,1.54598,1.58218,1.5087,1.65064,1.67523,1.47765,1.27447,1.29833,1.39569,1.44152,1.38054,1.29413,1.23112,1.12883,0.96586,0.85491,0.68861,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,0.60707,1.32151,1.40641,1.38197,1.27806,1.6186,1.70025,1.57859,1.67834,1.68014,1.50865,1.3239,1.35538,1.44575,1.4931,1.43696,1.36147,1.29545,1.19,1.02857,0.92473,0.76056,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,1.26905,1.43959,1.80751,1.81551,1.76915,1.69199,1.83015,1.92931,1.81291,1.86714,1.83568,1.63314,1.47422,1.51401,1.59669,1.63349,1.59026,1.53203,1.47442,1.38155,1.22158,1.11262,0.95759,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,-0.85197,0.25174,0.47868,0.96996,0.99269,0.98733,0.97917,1.27635,1.35628,1.35329,1.51551,1.53087,1.37259,1.20896,1.22245,1.30748,1.34868,1.30163,1.23522,1.18937,1.10338,0.9649,0.88235,0.74957,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,-0.02457,-0.64852,0.06581,0.31653,0.77597,0.79211,0.79059,0.76975,1.07977,1.1544,1.15521,1.3331,1.38319,1.26422,1.10343,1.11756,1.20614,1.24777,1.20217,1.13238,1.09537,1.01994,0.89084,0.81454,0.68742,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,-0.8469,-0.60492,-0.91422,-0.27246,-0.08251,0.39427,0.42324,0.42284,0.40638,0.7389,0.82029,0.85335,1.08138,1.18421,1.11423,0.94057,0.94533,1.04297,1.08745,1.03523,0.96038,0.92312,0.85052,0.72463,0.65094,0.52873,,,,,,,,,,,,,,,,,,,,,,
Mar1952,0.26469,-0.48129,-0.477,-0.78597,-0.24097,-0.07558,0.36251,0.39035,0.39276,0.36765,0.70334,0.78512,0.82093,1.05402,1.16188,1.08322,0.90509,0.90998,1.01083,1.05643,1.00152,0.92711,0.88903,0.81687,0.6911,0.62334,0.50733,,,,,,,,,,,,,,,,,,,,,
Apr1952,1.14945,0.82499,0.10924,-0.01944,-0.45062,0.02517,0.22111,0.62483,0.64734,0.6476,0.61584,0.91207,0.99809,1.02588,1.22833,1.31275,1.21775,1.04619,1.04932,1.1476,1.18961,1.13758,1.06325,1.02651,0.95235,0.82154,0.74818,0.62937,,,,,,,,,,,,,,,,,,,,
May1952,1.70591,1.78207,1.47004,0.91926,0.7054,0.23206,0.57508,0.74931,1.04685,1.05739,1.06173,1.03438,1.272,1.35886,1.36534,1.5155,1.55701,1.42784,1.26694,1.27198,1.36491,1.40016,1.35593,1.28923,1.25646,1.19082,1.0648,0.99043,0.87404,,,,,,,,,,,,,,,,,,,
Jun1952,-0.53233,1.30817,1.53911,1.25252,0.72222,0.54177,0.11366,0.46417,0.61888,0.91917,0.93107,0.93007,0.89842,1.1393,1.22175,1.23715,1.3962,1.4438,1.33811,1.18352,1.18446,1.2734,1.30996,1.26512,1.19787,1.16784,1.10294,0.98048,0.90993,0.79784,,,,,,,,,,,,,,,,,,
